"time","infectedAmount","deadAmount","immunityAmount","deltaInfectedAmount"
5640,241,73,1164,-4
5660,235,73,1171,-6
5680,234,73,1173,-1
5700,230,74,1178,-4
5720,223,74,1185,-7
5740,222,74,1189,-1
5760,220,74,1192,-2
5780,216,74,1197,-4
5800,212,74,1201,-4
5820,210,74,1204,-2
5840,205,75,1208,-5
5860,201,75,1213,-4
5880,198,75,1217,-3
5900,193,76,1223,-5
5920,187,76,1231,-6
5940,183,76,1235,-4
5960,185,76,1236,2
5980,179,76,1243,-6
6000,176,76,1246,-3
6020,176,76,1247,0
6040,172,77,1250,-4
6060,169,77,1254,-3
6080,166,78,1256,-3
6100,166,78,1258,0
6120,164,78,1263,-2
6140,164,78,1263,0
6160,162,79,1265,-2
6180,159,80,1267,-3
6200,149,83,1275,-10
6220,146,83,1278,-3
6240,144,83,1281,-2
6260,137,84,1287,-7
6280,132,84,1292,-5
6300,130,84,1294,-2
6320,130,84,1295,0
6340,130,84,1300,0
6360,127,84,1304,-3
6380,125,84,1309,-2
6400,125,84,1310,0
6420,126,84,1311,1
6440,129,84,1311,3
6460,126,84,1314,-3
6480,124,85,1316,-2
6500,120,85,1321,-4
6520,118,85,1325,-2
6540,116,86,1327,-2
6560,117,86,1328,1
6580,117,86,1328,0
6600,114,86,1333,-3
6620,113,86,1334,-1
6640,111,86,1337,-2
6660,107,86,1342,-4
6680,109,86,1344,2
6700,106,86,1347,-3
6720,103,86,1350,-3
6740,105,86,1350,2
6760,104,86,1351,-1
6780,103,86,1354,-1
6800,103,86,1357,0
6820,102,86,1361,-1
6840,99,86,1364,-3
6860,98,86,1365,-1
6880,97,86,1366,-1
6900,95,87,1368,-2
6920,93,87,1370,-2
6940,90,87,1373,-3
6960,89,87,1375,-1
6980,89,87,1376,0
7000,89,89,1376,0
7020,89,89,1376,0
7040,87,90,1377,-2
7060,84,90,1380,-3
7080,84,90,1380,0
7100,83,90,1383,-1
7120,79,91,1386,-4
7140,78,91,1387,-1
7160,77,91,1388,-1
7180,78,91,1389,1
7200,80,91,1390,2
7220,81,91,1391,1
7240,79,91,1394,-2
7260,79,91,1395,0
7280,78,91,1396,-1
7300,79,91,1396,1
7320,78,91,1397,-1
7340,80,91,1397,2
7360,79,91,1398,-1
